Timestamp,User,Action,Record Type Name,Record Type URL Stub,Record Identifier,View,Filters,Environment,Site URL Stub
12 Dec 2017 07:27:52 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,654,summary,N/A,Site,incident-detail
12 Dec 2017 07:31:36 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:31:43 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,654,summary,N/A,Site,incident-detail
12 Dec 2017 07:32:35 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:32:41 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,655,summary,N/A,Site,incident-detail
12 Dec 2017 07:34:27 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:34:34 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,652,summary,N/A,Site,incident-detail
12 Dec 2017 07:34:39 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:34:48 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,654,summary,N/A,Site,incident-detail
12 Dec 2017 07:34:53 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:35:00 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,651,summary,N/A,Site,incident-detail
12 Dec 2017 07:36:15 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:36:26 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,644,summary,N/A,Site,incident-detail
12 Dec 2017 07:36:56 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:41:07 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 07:41:14 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record Dashboard,Incident,B_qSSQ,656,summary,N/A,Site,incident-detail
12 Dec 2017 08:15:27 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 08:15:33 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Record Dashboard,Incident,B_qSSQ,656,summary,N/A,Site,incident-detail
12 Dec 2017 08:25:13 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 08:25:24 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 08:25:53 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 08:26:38 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 08:26:44 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,657,summary,N/A,Site,incident-detail
12 Dec 2017 09:37:26 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 09:38:50 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 09:38:55 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record Dashboard,Incident,B_qSSQ,658,summary,N/A,Site,incident-detail
12 Dec 2017 09:46:05 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 09:46:13 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,657,summary,N/A,Site,incident-detail
12 Dec 2017 09:46:38 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:02:24 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 10:03:09 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
