Timestamp,User,Action,Site,Page
24 Dec 2017 06:28:15 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record List,incident-detail,incident
24 Dec 2017 06:28:47 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record View,incident-detail,incident
24 Dec 2017 06:30:04 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,Submit Process Task Form,incident-detail,incident
24 Dec 2017 06:30:07 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Process Task Form,incident-detail,incident
24 Dec 2017 06:30:25 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record List,incident-detail,incident
24 Dec 2017 06:30:45 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record List,incident-detail,project
24 Dec 2017 06:30:58 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record List,incident-detail,incident
24 Dec 2017 06:31:18 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Report,incident-detail,my-task-report
24 Dec 2017 06:32:56 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record List,incident-detail,incident
24 Dec 2017 06:34:45 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Report,incident-detail,my-task-report
24 Dec 2017 06:34:55 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record View,incident-detail,
24 Dec 2017 06:35:01 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Related Actions List,incident-detail,
24 Dec 2017 06:35:04 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record View,incident-detail,
24 Dec 2017 16:23:26 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Report,incident-detail,my-task-report
24 Dec 2017 16:24:04 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Report,incident-detail,my-task-report
24 Dec 2017 17:03:17 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_69,View Site Record View,incident-detail,
25 Dec 2017 05:58:17 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Report,incident-detail,my-task-report
25 Dec 2017 05:58:23 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
25 Dec 2017 05:58:30 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
25 Dec 2017 06:07:45 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Report,incident-detail,my-task-report
25 Dec 2017 06:07:54 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Report,incident-detail,incident-project-analytics
25 Dec 2017 06:08:04 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Record List,incident-detail,project
25 Dec 2017 06:11:12 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Report,incident-detail,incident-project-analytics
25 Dec 2017 06:26:34 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Action Start Form,incident-detail,Action
25 Dec 2017 06:28:35 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Site Action Start Form,incident-detail,Action
25 Dec 2017 06:32:38 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Report,incident-detail,my-task-report
25 Dec 2017 06:34:47 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Report,incident-detail,my-task-report
25 Dec 2017 06:34:54 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record List,incident-detail,incident
25 Dec 2017 06:35:09 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record List,incident-detail,incident
25 Dec 2017 06:35:37 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:36:10 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:36:15 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:36:29 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:37:03 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:37:04 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:37:17 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:38:30 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Site Report,incident-detail,my-task-report
25 Dec 2017 06:38:34 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Site Record List,incident-detail,incident
25 Dec 2017 06:38:40 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_5,View Site Record View,incident-detail,incident
25 Dec 2017 06:38:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,incident-detail,incident
25 Dec 2017 06:39:45 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:39:51 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:39:52 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Record List,incident-detail,project
25 Dec 2017 06:39:53 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
25 Dec 2017 06:40:42 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Record View,incident-detail,incident
